model,dataset,method,downsample_level,group_b_total,group_b_correct,group_b_accuracy,group_a_total,group_a_correct,group_a_accuracy
Qwen2-VL-7B-Instruct,chartqa,dart,2,1570,1083,68.98089172,469,183,39.01918977
Qwen2-VL-7B-Instruct,gqa,dart,2,6815,6005,88.11445341,1021,601,58.86385896
Qwen2-VL-7B-Instruct,mmbench_cn_dev,dart,2,3156,2984,94.55006337,230,120,52.17391304
Qwen2-VL-7B-Instruct,mmbench_en_dev,dart,2,3441,3267,94.94333043,217,119,54.83870968
Qwen2-VL-7B-Instruct,mme,dart,2,2019,1916,94.89846459,71,48,67.6056338
Qwen2-VL-7B-Instruct,mmstar,dart,2,655,509,77.70992366,183,86,46.99453552
Qwen2-VL-7B-Instruct,ocrbench,dart,2,628,441,70.22292994,179,72,40.22346369
Qwen2-VL-7B-Instruct,pope,dart,2,7477,7067,94.51651732,480,333,69.375
Qwen2-VL-7B-Instruct,chartqa,dart,3,585,337,57.60683761,1454,397,27.303989
Qwen2-VL-7B-Instruct,gqa,dart,3,6285,5104,81.20922832,1551,737,47.5177305
Qwen2-VL-7B-Instruct,mmbench_cn_dev,dart,3,3014,2619,86.89449237,372,152,40.86021505
Qwen2-VL-7B-Instruct,mmbench_en_dev,dart,3,3260,2860,87.73006135,398,161,40.45226131
Qwen2-VL-7B-Instruct,mme,dart,3,1957,1794,91.67092489,133,66,49.62406015
Qwen2-VL-7B-Instruct,mmstar,dart,3,567,397,70.01763668,271,96,35.42435424
Qwen2-VL-7B-Instruct,ocrbench,dart,3,470,297,63.19148936,337,106,31.45400593
Qwen2-VL-7B-Instruct,pope,dart,3,7135,6483,90.86194814,822,474,57.66423358
Qwen2-VL-7B-Instruct,chartqa,dart,4,286,192,67.13286713,1753,255,14.54649173
Qwen2-VL-7B-Instruct,gqa,dart,4,5851,4610,78.78995044,1985,831,41.86397985
Qwen2-VL-7B-Instruct,mmbench_cn_dev,dart,4,2902,2334,80.42729152,484,186,38.42975207
Qwen2-VL-7B-Instruct,mmbench_en_dev,dart,4,3137,2565,81.76601849,521,176,33.78119002
Qwen2-VL-7B-Instruct,mme,dart,4,1883,1674,88.90069039,207,97,46.85990338
Qwen2-VL-7B-Instruct,mmstar,dart,4,513,317,61.79337232,325,85,26.15384615
Qwen2-VL-7B-Instruct,ocrbench,dart,4,385,221,57.4025974,422,108,25.59241706
Qwen2-VL-7B-Instruct,pope,dart,4,6819,6033,88.47338319,1138,649,57.02987698
Qwen2-VL-7B-Instruct,chartqa,dart,5,263,187,71.1026616,1776,187,10.52927928
Qwen2-VL-7B-Instruct,gqa,dart,5,5555,4138,74.49144914,2281,830,36.38754932
Qwen2-VL-7B-Instruct,mmbench_cn_dev,dart,5,2748,2064,75.10917031,638,232,36.36363636
Qwen2-VL-7B-Instruct,mmbench_en_dev,dart,5,2985,2308,77.319933,673,227,33.72956909
Qwen2-VL-7B-Instruct,mme,dart,5,1871,1589,84.92784607,219,83,37.89954338
Qwen2-VL-7B-Instruct,mmstar,dart,5,471,299,63.48195329,367,82,22.34332425
Qwen2-VL-7B-Instruct,ocrbench,dart,5,309,166,53.72168285,498,123,24.69879518
Qwen2-VL-7B-Instruct,pope,dart,5,6718,5663,84.29592141,1239,659,53.18805488
Qwen2-VL-7B-Instruct,chartqa,dart,10,266,188,70.67669173,1773,74,4.173716864
Qwen2-VL-7B-Instruct,gqa,dart,10,4697,3576,76.13370236,3139,768,24.46639057
Qwen2-VL-7B-Instruct,mmbench_cn_dev,dart,10,2400,1417,59.04166667,986,277,28.09330629
Qwen2-VL-7B-Instruct,mmbench_en_dev,dart,10,2599,1642,63.17814544,1059,281,26.53446648
Qwen2-VL-7B-Instruct,mme,dart,10,1714,1255,73.22053676,376,115,30.58510638
Qwen2-VL-7B-Instruct,mmstar,dart,10,405,258,63.7037037,433,83,19.16859122
Qwen2-VL-7B-Instruct,ocrbench,dart,10,123,53,43.08943089,684,175,25.58479532
Qwen2-VL-7B-Instruct,pope,dart,10,6094,4107,67.39415819,1863,773,41.49221685
Qwen2-VL-7B-Instruct,chartqa,fastv,2,1570,1226,78.08917197,469,164,34.96801706
Qwen2-VL-7B-Instruct,gqa,fastv,2,6815,5967,87.55685987,1021,590,57.78648384
Qwen2-VL-7B-Instruct,mmbench_cn_dev,fastv,2,3156,3024,95.81749049,230,130,56.52173913
Qwen2-VL-7B-Instruct,mmbench_en_dev,fastv,2,3441,3300,95.90235397,217,98,45.16129032
